Clause-Test,Total,alameda,alpine,amdr,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,newsroom,oc,opinions,partners,placer,plumas,riverside,sanbenito,sanbernardino,sanmateo,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supreme,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
7.21.8-1,963,61,2,3,5,7,9,1,11,345,2,8,15,1,5,3,1,21,11,0,0,4,15,4,0,47,8,6,8,20,1,7,1,25,18,2,2,3,4,15,8,28,6,16,19,62,4,4,0,8,2,10,0,16,27,4,0,1,27,0,8,12
7.18.1-2,831,6,0,0,6,0,1,0,0,349,0,8,3,0,0,1,0,3,2,1,0,0,27,0,0,2,5,0,1,2,1,1,200,6,2,1,11,0,1,2,16,10,15,80,1,1,0,0,0,5,9,2,0,10,18,0,1,0,17,0,4,0
7.2-10,691,8,0,3,0,8,0,0,8,117,0,8,49,0,4,6,0,4,4,0,0,2,8,8,0,11,21,0,2,3,1,0,0,15,0,0,1,0,246,1,8,4,27,9,0,6,0,0,2,4,1,6,0,73,7,2,0,1,3,0,0,0
7.1-3,637,1,1,1,0,0,0,0,4,423,0,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,6,1,6,0,3,12,2,9,0,2,1,16,8,5,27,0,2,0,0,2,0,0,1,0,0,68,2,0,0,6,0,1,0
7.2-4,582,2,0,1,0,0,0,0,0,553,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-43,576,0,0,0,0,0,11,0,374,163,0,0,0,0,2,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0
7.2-20,479,2,0,38,5,1,0,1,1,265,0,1,3,0,2,1,0,7,1,0,0,1,2,6,0,0,2,0,1,0,2,6,1,3,27,3,8,1,2,0,2,9,6,2,6,5,9,0,0,0,3,4,3,0,0,32,2,0,2,1,0,0
7.2-29,426,11,0,5,49,0,0,0,11,155,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,3,2,0,47,0,2,0,0,41,0,6,1,7,17,0,0,0,8,21,7,2,1,0,2,0,1,0,2,0
7.21.7-2,425,0,1,0,10,0,1,0,7,225,1,2,5,0,1,0,0,3,47,0,4,0,0,0,0,0,0,0,1,2,27,0,0,17,4,0,2,0,21,0,0,1,3,0,0,0,0,2,0,1,0,4,0,23,8,0,0,0,0,1,0,1
6.2-1,361,0,0,0,0,0,0,0,2,313,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,9,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,9,2,0,0,4,0,0,0
7.2-34,357,0,0,0,0,0,0,0,1,319,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,2,0,0,4,0,0,0
7.18.5-2,353,3,0,0,2,0,0,0,0,297,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,15,10,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0
7.2-33,324,0,0,0,0,0,0,0,1,305,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
7.2-17,309,2,0,0,0,0,0,0,0,280,0,0,1,0,3,2,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,3,0,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
7.21.4.2-2,309,0,2,0,0,2,0,0,7,186,0,3,13,0,0,2,0,3,0,0,1,1,3,0,0,6,0,0,0,5,1,8,0,7,0,1,0,0,7,3,0,9,0,2,0,7,0,0,0,5,4,1,2,3,7,0,0,1,5,0,2,0
7.2-42,305,7,0,0,0,1,9,0,13,194,0,0,7,0,9,0,0,1,0,0,0,0,5,0,0,0,2,0,0,1,5,0,0,6,0,0,0,0,6,0,3,19,0,8,0,0,0,0,0,3,0,1,0,1,3,0,0,0,1,0,0,0
7.2-2,302,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0
7.5-1,265,1,0,0,1,1,0,0,11,136,0,0,0,0,0,3,0,0,0,0,0,0,34,0,1,0,4,0,6,4,7,3,0,11,3,0,0,0,5,0,2,1,5,3,0,1,0,0,0,9,0,0,0,0,8,0,0,0,0,0,4,1
7.2-19,258,0,1,5,1,6,1,0,8,118,0,29,4,0,0,0,0,1,4,0,0,10,1,1,0,0,0,0,0,0,0,1,2,8,0,0,4,0,3,3,1,0,1,4,2,22,0,0,0,3,5,1,0,0,1,0,1,1,0,0,5,0
7.1-10,241,0,0,0,0,0,0,0,1,192,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,9,0,1,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,8,2,0,0,5,0,0,0
7.1-7,221,0,0,0,1,0,0,0,0,159,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,2,0,0,1,0,0,31,2,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7.3-1,190,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.10-1,183,0,0,0,0,0,0,0,0,172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
7.2-18,172,0,1,0,1,5,1,0,0,96,0,7,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,5,1,0,4,1,3,3,0,0,1,1,2,20,0,0,0,3,0,0,0,0,1,0,1,0,0,0,3,0
7.9-1,154,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-3,150,0,0,0,0,0,0,0,0,131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.1-11,149,0,0,2,0,0,0,0,2,111,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,9,0,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0
7.18.3-1,147,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
7.2-22,128,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.4.2-1,123,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.2-26,120,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
7.21.4.1-2,92,0,0,0,2,0,0,0,6,30,0,2,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,9,0,0,13,0,0,0,2,0,0,0
7.18.1-1,79,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-27,72,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
7.10-2,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-30,53,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.11-1,50,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0
7.2-24,43,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.18.4-1,36,0,0,2,0,0,0,0,0,22,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.1-8,33,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,9,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7.18.1-3,32,0,0,0,0,0,0,0,0,17,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7.21.6-3,32,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-21,23,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-5,22,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.20-2,19,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.15-1,17,0,0,3,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.21.3.2-1,17,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7.21.4.2-1,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.18.4-2,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1-6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-25,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.21.6-2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.2-41,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7.2-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
